task,l_target,depth,width,lr,params,train_loss,test_loss,test_acc,loss_5,loss_20,loss_50,loss_100
indset4,3,7,16,0.001,5154,5.614757032645912e-09,2.7418134784795713e-10,1.0,0.004882798451464623,3.095590629527578e-06,4.1122853349406795e-07,7.620447399858676e-08
indset4,3,1,32,0.005,1218,1.8528663622419116e-07,9.047967296282877e-09,1.0,0.0009471095567569137,4.641375440405682e-05,7.314566806599032e-06,1.5239409567584516e-06
cycle,3,4,8,0.001,738,0.2514374086856842,0.1031220788359642,0.9837,0.38145301055908204,0.2771150953769684,0.26758652019500734,0.2577498278617859
k4,3,6,32,0.005,16962,0.4656599407196045,1.2034124546051026,0.23885,0.5450173335075379,0.5381194047927856,0.5323588290214538,0.5278092651367188
path,3,7,64,0.001,79106,0.001970534700254575,0.020943488016724587,0.998625,0.24757148361206055,0.13914014172554015,0.007447213069070131,0.004921804835548755
cycle,3,2,64,0.001,16898,0.2549113385677338,0.09561805951595306,0.983375,0.2979491286277771,0.2770033639669418,0.2753693404197693,0.2664620280265808
k4,3,5,8,0.001,962,0.5286604676246643,1.1616671867370605,0.23845,0.5503389163017273,0.5514596819877624,0.5479611101150512,0.5389022145271302
path,3,2,16,0.005,1186,0.23129756832122803,0.10205121213197708,0.998225,0.2422151517868042,0.23748366045951844,0.23233652186393738,0.23205704402923583
path,3,4,32,0.001,10690,0.09688543176651002,0.047388796865940094,0.9981,0.32595774698257446,0.2017688512802124,0.1398237845301628,0.11468552899360657
path,3,3,8,0.001,546,0.21038349390029906,0.09067403090000152,0.998325,0.48126265716552735,0.24424444913864135,0.22355462670326232,0.21442211544513703
cycle,3,7,16,0.005,5154,0.14841393113136292,0.0840472285747528,0.983825,0.30429820251464845,0.2516003999710083,0.22370190477371216,0.20137075877189636
path,3,5,16,0.01,3586,0.0215780468583107,0.023181348651647567,0.995475,0.23568075251579285,0.1359958094358444,0.0629788362979889,0.03678644534945488
cycle,3,1,32,0.001,1218,0.27842758417129515,0.12118663227558137,0.98335,0.29651234674453736,0.28079237675666807,0.2804288328886032,0.2803025145530701
indset4,3,1,8,0.01,114,8.983603493106784e-08,4.3868976717931216e-09,1.0,0.0005551704908721149,2.5871478632325306e-05,3.831880236248253e-06,7.67153255537778e-07
cycle,3,5,8,0.001,946,0.24757268142700195,0.09490386307239533,0.9839,0.3808174521923065,0.2758047757148743,0.2719289066791534,0.2597584042549133
k4,3,7,64,0.001,79106,0.340330828666687,1.2129497032165528,0.241675,0.5506078472137451,0.5382753524780274,0.507698073387146,0.39126472997665407
indset4,3,2,16,0.01,1154,5.614757046856766e-09,2.7418134784795713e-10,1.0,2.8202378445712385e-05,2.165792237065034e-06,3.4766066914926343e-07,7.22705756288633e-08
indset4,3,6,8,0.005,1154,0.0,0.0,1.0,1.4560785231878981e-05,0.0,0.0,0.0
k4,3,5,16,0.01,3586,0.5172837204933166,1.1369379405975342,0.238125,0.5504097888469696,0.540831866979599,0.5314774672985076,0.5230082955360412
path,3,8,8,0.005,1586,0.009588224787265062,0.004654186945408582,0.999525,0.2436126276254654,0.22720701432228088,0.13837043470144272,0.02799484057724476
cycle,3,8,32,0.005,23170,0.1436475147008896,0.10968503630161286,0.984175,0.32162341046333315,0.24731149768829347,0.22858271288871765,0.2058446900844574
k4,3,4,32,0.001,10690,0.4987001886367798,1.209041597366333,0.238475,0.5489624533653259,0.5382309956550598,0.5313884825706482,0.5144733054637909
k4,3,2,16,0.005,1186,0.5362667331695556,1.1825058765411376,0.238125,0.5441893639564515,0.5399902229309081,0.536945198059082,0.5376541903018951
indset4,3,3,32,0.001,7490,3.9303286001768356e-08,1.919268758143744e-09,1.0,0.002264910123310983,1.935731032426702e-05,2.2563393504242412e-06,3.868265948767657e-07
indset4,3,5,16,0.005,3554,0.0,0.0,1.0,1.9484950935293456e-06,3.469156308710808e-07,6.176229209131634e-08,1.122951385923443e-08
cycle,3,7,64,0.01,78978,0.41374373054504393,0.18726772272586822,0.983325,0.4154674117565155,0.41419454908370973,0.41455481481552126,0.41420674657821654
path,3,5,64,0.005,54274,0.002262375584220848,0.03023667547106743,0.994,0.23793251943588256,0.06693012419342995,0.026585346058011054,0.0151646657474339
path,3,2,8,0.001,338,0.2336365764141083,0.1104521033167839,0.998225,0.4736105332374573,0.2636327660083771,0.23831735134124757,0.23628837490081786
k4,3,4,8,0.001,754,0.5244683210849762,1.242186411857605,0.23845,0.5499174308776855,0.5495269613265992,0.5467734680175781,0.5347064373493194
